Total Number of Aligned Reads:	166760	Total Number of Mapped Genomes:	977
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|349741|org|Akkermansia_muciniphila_ATCC_BAA-835	0.5107387726125819	0.15253058287359078	25436.0	0.15253058287359078	0.0	0.510738772612718	0.15256156552330696	25441.166666666668	0.1525425761573519	2.3986567522187573e-05
ti|435590|org|Bacteroides_vulgatus_ATCC_8482	0.10441347705342212	0.0564703765891101	9417.0	0.0564703765891101	0.0	0.10439671877158328	0.028324738146637867	4723.433333333331	0.027476613096665867	0.0012532981530343009
ti|420247|org|Methanobrevibacter_smithii_ATCC_35061	0.09045761596221463	0.020682417846006235	3449.0	0.020682417846006235	0.0	0.09045761350078653	0.020682417846006235	3449.0	0.020682417846006235	0.0
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703	0.06296146270352775	0.031926121372031664	5324.0	0.031926121372031664	0.0	0.01656769974104631	0.026232197199005786	4374.481204906205	4.797313504437515e-05	0.029101703046294076
ti|515620|org|Eubacterium_eligens_ATCC_27750	0.04444223153159856	0.029089709762532983	4851.0	0.02907171983689134	1.7989925641640682e-05	0.044442258501974224	0.027104821300071958	4520.0	0.026858958982969538	0.0002638522427440633
ti|657322|org|Faecalibacterium_prausnitzii_SL3/3	0.0443193246282036	0.050611657471815785	8440.0	0.050551691053010314	5.996641880546894e-05	0.04431932445449273	0.0473344926840969	7893.5	0.04712760853921804	0.00023986567522187575
ti|657321|org|Ruminococcus_bromii_L2-63	0.03938231683072122	0.07339289997601343	12239.0	0.07308707124010554	0.0003058287359078916	0.039379635977097684	0.03736357639721756	6230.75	0.03611177740465339	0.00140921084192852
ti|657323|org|Ruminococcus_sp._SR1/5	0.020236226884968015	0.06424202446629887	10713.0	0.06130366994483089	0.002938354521467978	0.01991324091359268	0.013405492923962582	2235.5	0.011849364355960661	0.0017690093547613336
ti|657313|org|Ruminococcus_torques_L2-14	0.019394655245015324	0.02957543775485728	4932.0	0.028382106020628448	0.0011933317342288318	0.019378424165151925	0.018165327416646677	3029.25	0.016628687934756536	0.0016670664427920364
ti|391904|org|Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222	0.017157576178420064	0.010554089709762533	1760.0	0.010554089709762533	0.0	0.008919950392272486	0.0020003899547854954	333.58502886002924	0.0	0.016160949868073878
ti|245018|org|butyrate-producing_bacterium_SSC/2	0.012514824194676737	0.019812904773326936	3304.0	0.019734948428879826	7.795634444710961e-05	0.012514770410881443	0.007338890221475973	1223.8333333333333	0.0068661549532261935	0.0005157112017270328
ti|717959|org|Alistipes_shahii_WAL_8301	0.007837895205550538	0.02256536339649796	3763.0	0.02256536339649796	0.0	0.006508339384419804	0.01612796833773087	2689.5	0.016286879347565363	1.1993283761093787e-05
ti|657314|org|Ruminococcus_obeum_A2-162	0.007048772006663187	0.041490765171503956	6919.0	0.035614056128568	0.005876709042935956	0.007372248965736451	0.05017490205484928	8367.166666666666	0.04813504437514991	0.002254737347085632
