"","0047-0A","0047-1A","0047-2A","0047-5A","0047-6A","0047-7A","0047-8A","0112-2A","0112-4A","0112-5A","0112-6A","0287-0A","0287-1A","0287-2A","0287-3A","0287-4A","0287-5A","0287-6A","0287-7A","0287-8A","0287-9A","0390-1A","0390-2A","0390-3A","0390-4A","0514-0A","0514-1A","0514-2A","0514-3A","0514-4A","0514-5A","0514-6A","0514-7A","0514-8A","0514-9A","0537-1A","0537-2A","0537-3A","0537-4A","0590-0A","0590-1A","0590-2A","0590-3A","0590-4A","0590-5A","0590-6A","0590-7A","0590-8A","0590-9A","0652-0A","0652-1A","0652-2A","0652-3A","0652-4A","0652-5A","0652-6A","0652-7A","0652-8A","0652-9A","1127-1A","1127-2A","1127-3A","1127-4A","1256-1A","1256-3A","1256-4A","1296-0A","1296-1A","1296-2A","1296-3A","1296-4A","1296-5A","1296-6A","1296-7A","1296-8A","1296-9A","1382-2A","1382-3A","1382-4A","1445-2A","1445-3A","1605-1A","1605-2A","1605-3A","1605-4A","1806-1A","1806-2A","1806-3A","1806-4A","1868-0A","1868-1A","1868-2A","1868-3A","1868-4A","1868-5A","1868-6A","1868-7A","1868-8A","1868-9A","1904-2A","1904-3A","1904-4A","1914-2A","1914-3A","1914-4A","1941-2A","1941-3A","1941-4A","1941-6A","2052-0A","2052-2A","2052-3A","2052-4A","2052-5A","2052-6A","2052-7A","2052-8A","2052-9A","2067-0A","2067-2A","2067-3A","2067-4A","2067-5A","2067-6A","2067-7A","2067-8A","2067-9A","2160-1A","2160-2A","2160-4A","2232-1A","2232-2A","2232-3A","2232-4A","2232-5A","2232-6A","2232-7A","2756-1A","2756-2A","2756-3A","2756-4A","3224-0A","3224-1A","3224-2A","3224-3A","3224-5A","3224-6A","3224-7A","3224-8A","3224-9A","3524-1A","3524-2A","3524-3A","3524-4A","3541-1A","3541-3A","3541-4A","3551-0A","3551-2A","3551-3A","3551-4A","3551-5A","3551-6A","3551-8A","3551-9A","3567-2A","3567-3A","3663-1A","3663-2A","3663-5A","3663-6A","3678-1A","3678-2A","3678-5A","3678-6A","3678-7A","3755-1A","3755-2A","3755-3A","3755-4A","3771-2A","3771-3A","3771-4A","3888-1A","3888-2A","3888-3A","3888-4A","3888-5A","3888-7A","3888-8A","3888-9A","3902-2A","3902-3A","3902-4A","3957-0A","3957-2A","3957-3A","3957-5A","3957-6A","3957-7A","3957-8A","3957-9A","4001-0A","4001-2A","4001-3A","4001-4A","4001-8A","4001-9A","4120-2A","4120-4A","4120-5A","4120-6A","4120-7A","4120-8A","4134-2A","4134-4A","4180-2A","4180-3A","4180-4A"
"Otu01118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00456",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00093",0,0,0,0,0,0,0,5,24,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,22,18,108,4,18,1,11,4,8,11,0,0,0,2,1,17,0,56,0,0,0,0,0,1,0,0,0,0,4,102,0,4,31,2,0,0,0,306,0,2,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,9,9,0,0,0,3,84,3,0,0,0,0,0,1,0,0,0,29,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,88,4,0,8,0,16,0,0,0,0,0,10,363,0,81,71,6,33,32,20,10,64,41,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,64,0,15,109,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,18,7,0,0,0,62,0,0,0,8,5,1,9,0,0,0,0,0,0,0,0
"Otu00346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00171",0,0,0,0,0,0,0,5,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,3,3,0,2,0,7,0,7,0,0,0,1,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,19,24,0,0,5,5,0,0,11,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,13,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
"Otu00787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu01016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
