"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu01118","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00890","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00456","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00777","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00093","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00346","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00171","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00787","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu01016","Bacteria","SR1","SR1_class_incertae_sedis","SR1_order_incertae_sedis","SR1_family_incertae_sedis","SR1_genus_incertae_sedis"
"Otu00285","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01145","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00516","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01157","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01204","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00393","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00764","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00376","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00056","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01451","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01450","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01172","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01261","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01130","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01382","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu01083","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00640","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu01171","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu00481","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01453","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu00743","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01312","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu00863","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00876","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01372","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00836","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu01150","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu00567","Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu01148","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00891","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu00875","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01323","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01325","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"Otu01365","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
